,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad
93) SANAND ,12600,NA,13500,NA,16250,14400,17000,17500,15300,19000,16200,21000,18000,18500,23000,24000,NA,25000,NA,30000,30600,NA,40500,NA,NA,NA,NA,30000,35000,27900,NA,33300,NA,43200,NA
94) GANDHINAGAR ,12600,NA,13500,NA,16250,14400,NA,17500,15300,NA,16200,NA,18000,18500,NA,24000,NA,NA,NA,NA,30600,NA,40500,NA,NA,NA,NA,NA,35000,27900,NA,33300,NA,43200,NA
95) SANTEJ,NA,NA,NA,NA,16250,NA,NA,17500,NA,NA,NA,NA,18000,NA,NA,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,NA,NA,NA,NA,NA,NA
96) ODHAV,NA,NA,NA,NA,16250,NA,NA,17500,NA,NA,NA,NA,18000,NA,NA,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,NA,NA,NA,NA,NA,NA
97) SHAPAR,NA,NA,NA,NA,17000,NA,NA,21000,NA,NA,NA,NA,25250,NA,NA,28250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,NA,NA,NA,NA,NA,NA
98) MYSORE ,NA,NA,NA,NA,NA,NA,NA,19250,NA,NA,36000,NA,23000,36900,NA,29000,NA,NA,NA,NA,36900,NA,45000,NA,NA,NA,NA,NA,34000,33300,NA,40500,NA,70200,NA
99) YESHWANTPU,NA,NA,NA,NA,NA,NA,NA,19250,NA,NA,36000,NA,23000,36900,NA,29000,NA,NA,NA,NA,36900,NA,45000,NA,NA,NA,NA,NA,34000,33300,NA,40500,NA,70200,NA
100) SURAT ,14400,NA,15300,NA,8500,16200,NA,12500,17100,NA,18000,NA,16500,18900,NA,19000,NA,NA,NA,NA,20700,NA,30600,NA,NA,NA,NA,NA,24000,30600,NA,33300,NA,30600,NA
101) RAJKOT ,NA,NA,NA,NA,17000,NA,NA,21000,NA,NA,NA,NA,25250,NA,NA,28250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,NA,NA,NA,NA,66600,NA
102) CHIKALTHANA ,16200,11000,17100,11500,6000,18000,12000,8000,18900,13000,19800,14000,10450,20700,16000,13050,NA,18000,NA,25000,25200,NA,30600,NA,NA,NA,NA,25000,15500,33300,NA,40500,NA,36000,NA
103) SHENDRA,16200,11000,17100,11500,6000,18000,12000,8000,18900,13000,19800,14000,10450,20700,16000,13050,NA,18000,NA,25000,25200,NA,30600,NA,NA,NA,NA,25000,15500,33300,NA,40500,NA,36000,NA
104) WAGHOLI,10800,6000,11700,6500,4000,12600,7000,5500,13500,7500,14400,8000,6500,15300,8500,7250,NA,9000,NA,13000,21600,NA,27900,NA,NA,NA,NA,13000,8500,29700,NA,30600,NA,18000,NA
105) BHOSARI,10800,5000,11700,5500,3500,12600,6500,4000,13500,7500,14400,8500,6250,15300,9500,6250,NA,10500,NA,11500,21600,NA,27900,NA,NA,22000,NA,11500,8000,29700,NA,30600,25000,18000,20000
106) HINJAWADI,10800,5000,11700,5500,3500,12600,6500,4000,13500,7500,14400,8500,6250,15300,9500,6250,NA,10500,NA,11500,21600,NA,27900,NA,NA,22000,NA,11500,8000,29700,NA,30600,25000,18000,20000
107) CHAKAN ,10800,5000,11700,5500,3500,12600,6500,4000,13500,7500,14400,8500,6250,15300,9500,6300,NA,10500,NA,11500,21600,NA,27900,NA,NA,22000,NA,11500,7500,29700,NA,30600,25000,18000,20000
108) PIRANGUT,10800,6000,11700,6500,4000,12600,7000,4000,13500,7500,14400,8000,6250,15300,8500,7250,NA,9000,NA,13000,21600,NA,27900,NA,NA,NA,NA,13000,8000,29700,NA,30600,NA,18000,NA
109) KHOPOLI,NA,NA,NA,NA,3500,NA,NA,4000,NA,NA,NA,NA,6250,NA,NA,6300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,NA,NA,NA,NA
110) KARJAT,NA,NA,NA,NA,4250,NA,NA,5000,NA,NA,NA,NA,6250,NA,NA,7250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8750,NA,NA,NA,NA,NA,NA
111) SHIVANE / MAVAL,10800,6000,11700,6500,4250,12600,7000,5000,13500,7500,14400,8000,6250,15300,8500,7250,NA,9000,NA,13000,21600,NA,27900,NA,NA,NA,NA,13000,8750,29700,NA,30600,NA,18000,NA
112) LONAVALA,NA,6000,NA,6500,3500,NA,7000,4000,NA,7500,NA,8000,6250,NA,8500,6300,NA,9000,NA,13000,NA,NA,NA,NA,NA,NA,NA,13000,7500,NA,NA,NA,NA,NA,NA
113) KHANDALA,NA,6000,NA,6500,6500,NA,7000,8000,NA,7500,NA,8000,8500,NA,8500,9500,NA,9000,NA,13000,NA,NA,NA,NA,NA,NA,NA,13000,16250,NA,NA,NA,NA,NA,NA
114) DAPODI,10800,5000,11700,5500,3500,12600,6500,4000,13500,7500,14400,8500,6250,15300,9500,6250,NA,10500,NA,11500,21600,NA,27900,NA,NA,22000,NA,11500,8000,29700,NA,30600,25000,18000,20000
