,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new
SHIRUR (IN SHU),NA,NA,NA,9000,NA,NA,NA,9500,NA,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,10500,NA,NA,NA,11000,NA,NA,NA,NA,NA,12000,NA,NA,NA,NA,NA,13000,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SINDHUDURG (IN SIN),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SINNAR (IN NKI),NA,10800,NA,6000,NA,11700,4000,6500,NA,5000,8000,12600,5505,7500,4750,5750,NA,13500,NA,8500,NA,14400,6825,9500,8200,8200,10500,15300,7100,10500,8900,8900,12000,17100,8750,12000,NA,18000,NA,17000,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14000,NA,12500,17000,14500,14500,NA,15300,NA,NA,NA,NA,NA,NA,23500,20700,22000,NA
SOLAPUR (IN SOL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TALEGON (IN TLG),NA,10800,NA,5000,NA,11700,NA,5500,NA,3500,7000,12600,4200,6500,3800,4000,NA,13500,NA,7500,NA,14400,5000,8500,6050,6250,10000,15300,5800,9500,6300,6300,NA,17100,7000,10500,NA,18000,NA,11500,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,22000,13500,NA,8000,11500,7500,7500,NA,15300,NA,NA,NA,NA,NA,25000,19000,20700,16000,20000
ALANDI,NA,NA,NA,5000,NA,NA,NA,5500,NA,3500,7000,NA,4200,6500,3800,4000,NA,NA,NA,7500,NA,NA,5000,8500,6050,6250,10000,NA,5800,9500,6300,6300,NA,NA,7000,10500,NA,NA,NA,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22000,13500,NA,8000,11500,7500,7500,NA,NA,NA,NA,NA,NA,NA,25000,19000,NA,16000,20000
THANE (IN THN),NA,7200,NA,6000,NA,7560,NA,6500,2750,2750,NA,8100,NA,7500,3000,3500,NA,8650,NA,8500,NA,9000,NA,9500,3500,5500,NA,9900,NA,10500,5500,6000,NA,10800,NA,11500,NA,11700,NA,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14000,9000,9000,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
ULWA (IN ULW),NA,NA,NA,5500,NA,NA,NA,6000,NA,NA,NA,NA,NA,6500,NA,NA,NA,NA,NA,7500,NA,NA,NA,8500,NA,NA,NA,NA,NA,9500,NA,NA,NA,NA,NA,10500,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UMBERGAON (IN UMB),NA,10800,NA,NA,NA,11700,NA,NA,NA,8000,NA,12600,NA,NA,NA,10250,NA,13500,NA,NA,NA,14400,NA,NA,NA,12500,NA,15300,NA,NA,NA,16000,NA,17100,NA,NA,NA,18000,NA,NA,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000,NA,15300,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA
URAN (IN URA),NA,5400,NA,5500,NA,6300,NA,6000,NA,NA,NA,7200,NA,6500,NA,NA,NA,7650,NA,7500,NA,8100,NA,8500,NA,NA,NA,8650,NA,9500,NA,NA,NA,9000,NA,10500,NA,9900,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,NA
