,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad
80) VAPI ,8650,NA,9000,NA,8000,9900,9000,10250,10800,10000,11700,11000,13000,12600,13000,16500,NA,15000,NA,18000,18900,NA,24300,NA,NA,NA,NA,18000,18500,28000,NA,33300,NA,20700,NA
81) DAMAN ,9000,NA,9900,NA,8000,10800,9000,10250,11700,10000,12600,11000,13000,13000,13000,16500,NA,15000,NA,18000,18900,NA,24300,NA,NA,NA,NA,18000,18500,28000,NA,33300,NA,20700,NA
82) UMBERGAON ,9000,NA,9900,NA,8250,10800,NA,10250,11700,NA,12600,NA,13000,13000,NA,16500,NA,NA,NA,NA,18900,NA,24300,NA,NA,NA,NA,NA,18500,28000,NA,33300,NA,20700,NA
83) VALSAD ,9900,NA,10800,NA,8250,11700,9000,10250,12600,10000,13500,11000,13000,14000,13000,16500,NA,15000,NA,18000,18900,NA,24300,NA,NA,NA,NA,18000,18500,28000,NA,33300,NA,20700,NA
84) VADODARA ,15300,NA,16200,NA,10000,17200,15000,13000,18000,17000,18900,19000,17000,20700,21000,19500,NA,23000,NA,24000,20700,NA,27900,NA,NA,NA,NA,24000,25000,30600,NA,36000,32000,40500,35000
85) MAKARPUR,15300,NA,16200,NA,10000,17200,15000,13000,18000,17000,18900,19000,17000,20700,21000,19500,NA,23000,NA,24000,20700,NA,27900,NA,NA,NA,NA,24000,25000,30600,NA,36000,32000,40500,35000
86) MANJUSAR,15300,NA,16200,NA,10000,17200,NA,13000,18000,NA,18900,NA,17000,20700,NA,19500,NA,NA,NA,NA,20700,NA,27900,NA,NA,NA,NA,NA,25000,30600,NA,36000,NA,40500,NA
87) ANKLESHWAR ,15300,NA,16200,NA,10000,17200,NA,13000,18000,NA,18900,NA,17000,20700,NA,19500,NA,NA,NA,NA,18000,NA,25000,NA,NA,NA,NA,NA,25000,30600,NA,36000,NA,36900,NA
88) HALOL,15300,NA,16200,NA,11000,17200,17000,13000,18000,19000,18900,21000,17000,20700,23000,20000,NA,25000,NA,30000,20700,NA,27900,NA,NA,NA,NA,30000,26000,30600,NA,36000,NA,40500,NA
89) WAGHODIA,15300,NA,16200,NA,10500,17200,15000,13000,18000,17000,18900,19000,17000,20700,21000,20000,NA,23000,NA,24000,20700,NA,27900,NA,NA,NA,NA,24000,26000,30600,NA,36000,32000,40500,35000
